el article	el	article	masculine singular definite article; the		
incluir verb	incluir	verb	to include, to enclose, to contain	Siempre incluyo ejemplos claros en clase.	I always include clear examples in class.
base noun	base	noun	basis	No hay base para acusarlo.	There is no basis to accuse him.
solar adj	solar	adj	solar	El sistema solar incluye ocho planetas.	The solar system includes eight planets.
publicar verb	publicar	verb	to publish	Ella publica artículos científicos cada mes.	She publishes scientific articles every month.
deuda noun	deuda	noun	debt (an obligation to perform for another)	Pago mi deuda cada mes.	I pay my debt every month.
plástico adj	plástico	adj	plastic (constructed of plastic)	La botella plástica se rompe fácilmente.	The plastic bottle breaks easily.
plástico noun	plástico	noun	plastic (a stiff but usually slightly flexible synthetic material)	Compré platos de plástico para la fiesta.	I bought plastic plates for the party.
chaqueta noun	chaqueta	noun	jacket, piece of clothing worn on the upper body outside a shirt or blouse, often waist length to thigh length	¿Dónde dejaste tu chaqueta negra?	Where did you leave your black jacket?
plátano noun	plátano	noun	banana (fruit)	Prefiero el plátano verde para cocinar.	I prefer green plantain for cooking.
argumento noun	argumento	noun	argument	Compararon ambos argumentos antes de decidir.	They compared both arguments before deciding.
hablante adj	hablante	adj	speaking	Ofrecemos clases para adultos hablantes de chino.	We offer classes for adult Chinese speakers.
hablante noun	hablante	noun	speaker (one who speaks)	La hablante explicó la diferencia entre las palabras.	The speaker explained the difference between the words.
web noun	web	noun	webpage, website	En la web del colegio publican noticias y tareas.	On the school's website they post news and assignments.
absurdo adj	absurdo	adj	absurd, preposterous, ludicrous, ridiculous	Me parece absurdo gastar tanto dinero.	I find it absurd to spend so much money.
absurdo noun	absurdo	noun	something that is absurd or ridiculous	Ese absurdo me hizo reír mucho.	That absurdity made me laugh a lot.
vidrio noun	vidrio	noun	glass	El vaso de vidrio está limpio hoy.	The glass is clean today.
pronunciar verb	pronunciar	verb	to pronounce	Hoy pronuncio mi nombre claramente.	Today I pronounce my name clearly.
corriente adj	corriente	adj	flowing, running	Nos lavamos con agua corriente fría.	We wash with cold running water.
corriente noun	corriente	noun	current, trend, tendency	Estudiaremos la corriente eléctrica en clase.	We will study electric current in class.
armario noun	armario	noun	cupboard, storage cabinet, wardrobe	¿Puedes ordenar el armario antes de salir?	Can you organize the closet before leaving?
total adj	total	adj	total, complete, outright	Tengo confianza total en ti.	I have total confidence in you.
total adv	total	adv	basically, so, in short (used to summarise)	Total, mejor lo hablamos después.	Anyway, we'd better talk about it later.
total noun	total	noun	total	¿Cuál es el total a pagar hoy?	What is the total to pay today?
actualmente adv	actualmente	adv	at present, currently, now, nowadays	Actualmente vivo en otra ciudad.	I currently live in another city.
mediodía noun	mediodía	noun	noon, midday	A mediodía, la plaza queda completamente vacía.	At midday, the square is completely empty.
dentista noun	dentista	noun	dentist	Tengo cita con la dentista mañana por la tarde.	I have an appointment with the dentist tomorrow afternoon.
mojado adj	mojado	adj	wet	La madera mojada no se enciende fácilmente.	Wet wood doesn't ignite easily.
uña noun	uña	noun	fingernail, toenail, nail	La uña crece lentamente.	The nail grows slowly.
pluma noun	pluma	noun	feather	Encontré una pluma blanca en el jardín.	I found a white feather in the garden.
deliberar verb	deliberar	verb	to deliberate	xxx	xxx
juez noun	juez	noun	judge	Los jueces deliberaron durante horas antes de decidir.	The judges deliberated for hours before deciding.
pasajero adj	pasajero	adj	transient, passing	El dolor fue pasajero y desapareció pronto.	The pain was fleeting and disappeared soon.
pasajero noun	pasajero	noun	passenger	El pasajero sube al autobús.	The passenger boards the bus.
responsabilidad noun	responsabilidad	noun	responsibility, responsibleness	Tener responsabilidad ayuda a crecer.	Having responsibility helps you grow.
cartera noun	cartera	noun	wallet, billfold	Perdí mi cartera con dinero y tarjetas.	I lost my wallet with money and cards in it.
fe noun	fe	noun	faith	Necesitamos fe y paciencia para seguir.	We need faith and patience to keep going.
contrato noun	contrato	noun	contract, agreement	Firmé el contrato ayer con recursos humanos.	I signed the contract yesterday with Human Resources.
saludable adj	saludable	adj	healthful; healthy	Comer frutas y verduras es saludable.	Eating fruits and vegetables is healthy.
calma noun	calma	noun	calm, stillness, peacefulness	Busco un momento de calma diaria.	I'm looking for a moment of calm every day.
rayo noun	rayo	noun	beam, ray (wave of energy)	Un rayo de luz entró.	A ray of light came in.
cansar verb	cansar	verb	to tire	Ese trabajo te va a cansar.	That job is going to tire you out.
juicio noun	juicio	noun	good judgement; reason	Usa tu juicio antes de tomar decisiones importantes.	Use your judgment before making important decisions.
asesinato noun	asesinato	noun	assassination	El juicio por el asesinato del presidente comenzó esta mañana.	The trial for the president’s assassination began this morning.
breve adj	breve	adj	brief, short	Prefiero mensajes breves durante el trabajo.	I prefer brief messages during work.
ceder verb	ceder	verb	to cede, to hand over, to convey	Cederemos el control cuando terminen.	We will hand over control when they finish.
serie noun	serie	noun	series	Estoy viendo una serie muy interesante.	I am watching a very interesting series.
dormitorio noun	dormitorio	noun	dormitory	Mi amiga comparte el dormitorio con tres estudiantes.	My friend shares the dorm room with three students.
colina noun	colina	noun	hill	Subimos la colina para ver el atardecer.	We climbed the hill to see the sunset.
riqueza noun	riqueza	noun	wealth, affluence, richness	Estudiar aumenta la riqueza de conocimientos.	Studying increases the wealth of knowledge.
infancia noun	infancia	noun	childhood (period of human development from birth until puberty)	Durante mi infancia aprendí a leer.	During my childhood I learned to read.
similar adj	similar	adj	similar	Nuestros proyectos tienen objetivos similares.	Our projects have similar objectives.
ausencia noun	ausencia	noun	absence	La ausencia de ruido me sorprendió.	The absence of noise surprised me.
atraer verb	atraer	verb	to attract, to lure	Fue atraído por la música suave.	He was drawn by the soft music.
admirar verb	admirar	verb	to admire	Siempre admiramos el esfuerzo de los demás.	We always admire the effort of others.
fracaso noun	fracaso	noun	downfall, ruin, calamity, disaster	Aprendió mucho de su fracaso personal.	He learned a lot from his personal failure.
aparte adj	aparte	adj	separate, apart	Su situación es un caso aparte.	His situation is a separate case.
aparte adv	aparte	adv	separately, apart (usually followed by de)	Coloca a los niños aparte de la chimenea.	Place the children away from the fireplace.
exigir verb	exigir	verb	to demand; to require; to call for	Nos exigieron documentos para ingresar.	They required us to provide documents to enter.
superior adj	superior	adj	upper, higher	El piso superior tiene mejor vista.	The upper floor has a better view.
superior noun	superior	noun	boss	Ella es mi superior en la oficina.	She is my superior at the office.
patata noun	patata	noun	potato	Planta la patata en primavera.	Plant the potato in spring.
hallar verb	hallar	verb	to find something, deliberately or not	Espero hallar trabajo pronto en la ciudad.	I hope to find work soon in the city.
directo adj	directo	adj	direct, straightforward	Su estilo es directo y claro.	Their style is direct and clear.
nacional adj	nacional	adj	national, nationwide (of or relating to a nation)	Hay cobertura nacional para este servicio.	There is nationwide coverage for this service.
nacional noun	nacional	noun	a member of the national militia	Los nacionales defendieron el puente durante la tormenta.	The nationals defended the bridge during the storm.
callado adj	callado	adj	quiet, silent	Prefiero estar callado cuando no sé qué decir.	I prefer to keep quiet when I don't know what to say.
corte noun	corte	noun	cut (the act of cutting)	Un mal corte puede arruinar la receta.	A bad cut can ruin the recipe.
proceso noun	proceso	noun	process	El proceso de aprendizaje requiere paciencia.	The learning process requires patience.
instante noun	instante	noun	instant, moment	En un instante, todo cambió.	In an instant, everything changed.
agujero noun	agujero	noun	hole (hollow place or cavity)	Cuidado, hay un agujero profundo en el camino.	Careful, there's a deep hole in the road.
salario noun	salario	noun	wage, wages, salary	El salario mínimo subirá el próximo año.	The minimum wage will rise next year.
héroe noun	héroe	noun	hero	El héroe de la historia aprende de sus errores.	The hero of the story learns from his mistakes.
fallar verb	fallar	verb	to fail	Hemos fallado, pero seguiremos intentándolo.	We have failed, but we will keep trying.
medianoche noun	medianoche	noun	midnight	Comenzaron a trabajar a medianoche.	They started working at midnight.
amanecer verb	amanecer	verb	to dawn	¿A qué hora amanece allí?	What time does the sun rise there?
amanecer noun	amanecer	noun	dawn (the morning period of twilight)	Durante el amanecer, el aire se siente fresco.	At dawn, the air feels fresh.
bombear verb	bombear	verb	to bomb, to cheat, to pump, to steal (something)	xxx	xxx
función noun	función	noun	function	La función principal del corazón es bombear sangre.	The main function of the heart is to pump blood.
costa noun	costa	noun	coast, shore, coastline, shoreline	Caminamos por la costa al atardecer.	We walked along the coast at sunset.
dicho adj	dicho	adj	mentioned, said, aforementioned	La empresa negará su responsabilidad en dicho caso.	The company will deny its responsibility in said case.
dicho det	dicho	det	said	Revisé dicho documento y lo firmé.	I reviewed said document and signed it.
dicho noun	dicho	noun	saying, expression	Los estudiantes compartieron varios dichos en clase.	The students shared several sayings in class.
corro verb	corro	verb	first-person singular present indicative of correr	xxx	xxx
rodilla noun	rodilla	noun	knee (joint or region of the joint in the middle part of the leg between the thigh and the shank)	Me duele la rodilla derecha cuando corro.	My right knee hurts when I run.
excusa noun	excusa	noun	excuse, cop-out	No hay excusa para llegar tarde.	There is no excuse for being late.
toque noun	toque	noun	whiff	Añade un toque de limón al té.	Add a touch of lemon to the tea.
enfermera noun	enfermera	noun	female equivalent of enfermero (“nurse”)	Una enfermera amable me explicó el tratamiento.	A kind nurse explained the treatment to me.
cristiano adj	cristiano	adj	Christian (of the Christian religion)	Estudian historia cristiana en la escuela.	They study Christian history at school.
familia noun	familia	noun	family (a grouping of things possessing common characteristics), family (a nuclear family)	xxx	xxx
